"","y","x1","x2","x3","x5","x6","x7","x8","x10","x4a","x4b","x9a","x9b","y_50","y_25","y_10","y_5","y_1","y_0.1","y_0.01","y_0.001","y_1e-04","y_1e-05","y_1e-06","y_1e-07","y_1e-08","y_1e-09","y_1e-10"
"1",12.8132429122925,60,1,24,1.82964742183685,247,302,0,33.1300010681152,0,0,0,0,169.034771363229,138.459760061456,120.114753280392,113.999751020038,109.107749211754,108.00704880489,107.896978764204,107.885971760135,107.884871059728,107.884760989688,107.884749982684,107.884748881983,107.884748771913,107.884748760906,107.884748759806
"2",11.5424861907959,35,1,20,10.3354625701904,64,97,0,12.75,1,0,0,0,77.2684843937336,68.5918376058034,63.3858495330453,61.6505201754592,60.2622566893904,59.9498974050249,59.9186614765883,59.9155378837447,59.9152255244603,59.9151942885319,59.915191164939,59.9151908525797,59.9151908213438,59.9151908182202,59.9151908179079
"3",10.1512470245361,70,0,21,7.15587663650513,0,76,1,16.9200000762939,1,0,0,0,97.9572220386777,92.4266148235105,89.1082504944101,88.0021290513767,87.11723189695,86.9181300372039,86.8982198512293,86.8962288326319,86.8960297307721,86.8960098205862,86.8960078295676,86.8960076304657,86.8960076105555,86.8960076085645,86.8960076083654
"4",11.4452953338623,64,0,17,7.74534177780151,21,2,1,15.1199998855591,1,0,0,0,42.498309704623,67.9108167434439,83.1583209667365,88.2408223745006,92.306823500712,93.2216737541095,93.3131587794493,93.3223072819833,93.3232221322367,93.323313617262,93.3233227657645,93.3233236806148,93.3233237720998,93.3233237812483,93.3233237821632
"5",13.0115203857422,71,0,20,1.85130143165588,226,92,0,31.75,1,0,1,0,154.66083617856,136.895576003984,126.236419899239,122.683367864324,119.840926236392,119.201376870107,119.137421933478,119.131026439816,119.130386890449,119.130322935513,119.130316540019,119.13031590047,119.130315836515,119.130315830119,119.13031582948
"6",12.5052814483643,50,1,17,2.47198414802551,35,108,1,9.07999992370605,1,0,0,0,22.3511220756533,47.7458806155245,62.9827357394473,68.0616874474215,72.1248488138009,73.0390601212362,73.1304812519798,73.1396233650541,73.1405375763616,73.1406289974923,73.1406381396054,73.1406390538167,73.1406391452378,73.1406391543799,73.1406391552942
"7",11.4833726882935,49,1,13,7.27789258956909,15,66,1,23.75,1,1,0,0,183.389836813711,134.537014753315,105.225321517077,95.4547571049981,87.6383055753348,85.8796039811606,85.7037338217431,85.6861468058014,85.6843881042072,85.6842122340478,85.6841946470319,85.6841928883303,85.6841927124601,85.6841926948731,85.6841926931144
"8",11.9081974029541,44,1,20,6.30651426315308,89,115,0,34.9900016784668,1,0,0,0,5.587331020776,48.9256291254363,74.9286079882325,83.5962676091646,90.5303953059102,92.090574037678,92.2465919108547,92.2621936981724,92.2637538769042,92.2639098947774,92.2639254965647,92.2639270567434,92.2639272127613,92.2639272283631,92.2639272299233
"9",12.5580854415894,55,1,26,6.54437255859375,171,133,1,22.6399993896484,1,0,1,0,82.2349910250655,87.7603686725425,91.0755952610287,92.1806707905241,93.0647312141204,93.2636448094296,93.2835361689605,93.2855253049136,93.2857242185089,93.2857441098684,93.2857460990044,93.285746297918,93.2857463178093,93.2857463197984,93.2857463199974
"10",12.5396919250488,56,1,14,2.05752015113831,16,201,0,30.6299991607666,1,0,0,0,131.10740508655,115.275953735162,105.77708292433,102.610792654052,100.07776043783,99.5078281891804,99.4508349643154,99.4451356418289,99.4445657095802,99.4445087163554,99.4445030170329,99.4445024471006,99.4445023901074,99.4445023844081,99.4445023838382
